package,commit_sha,ubuntu_2404_version,ubuntu_2604_version,ubuntu_2404_apt_version_at_check,_apt_fetch_error,ubuntu_component,ubuntu_2404_patch_method,patch_marker_found,_marker_quality,_debian_query_attempted,debian_cve_statuses,cve_assigned,cve_ids,usn_published,usn_ids,ubuntu_2404_actually_patched,vuln_confirmed,severity,backport_feasibility,maintenance_gap_type,_review_flags,upstream_commit,upstream_2404_tag_url,ubuntu_changelog_changelogs_org,ubuntu_changelog_package_overview,first_cve_page,first_usn_page,upstream_issue_search,q1_upstream_commit,q2_upstream_source,q3_ubuntu_changelog
libxml2,4982ee83f91ed598de793b280c8990646726c440,2.9.14+dfsg-1.3ubuntu3,2.15.2+dfsg-0.1,2.9.14+dfsg-1.3ubuntu3.7,,main,not_present,False,shared_context,True,"{""_error"": ""non_json_response"", ""_content_type"": ""text/html; charset=UTF-8""}",False,[],False,[],False,True,HIGH,Moderate,Trigger_Gap,[],https://gitlab.gnome.org/GNOME/libxml2/-/commit/4982ee83f91ed598de793b280c8990646726c440,https://gitlab.gnome.org/GNOME/libxml2/-/tree/v2.9.14,https://changelogs.ubuntu.com/changelogs/pool/main/libx/libxml2/libxml2_2.9.14+dfsg-1.3ubuntu3.7/changelog,https://launchpad.net/ubuntu/+source/libxml2/+changelog,,,https://gitlab.gnome.org/GNOME/libxml2/-/issues/?search=catalog,https://gitlab.gnome.org/GNOME/libxml2/-/commit/4982ee83f91ed598de793b280c8990646726c440,https://gitlab.gnome.org/GNOME/libxml2/-/blob/v2.9.14/catalog.c,https://changelogs.ubuntu.com/changelogs/pool/main/libx/libxml2/libxml2_2.9.14+dfsg-1.3ubuntu3.7/changelog
libxml2,f0e757a2a4e9e4da6ad522d7a389b7a06db8e9d0,2.9.14+dfsg-1.3ubuntu3,2.15.2+dfsg-0.1,2.9.14+dfsg-1.3ubuntu3.7,,main,none,False,post_fix_only,True,"{""_error"": ""non_json_response"", ""_content_type"": ""text/html; charset=UTF-8""}",False,[],False,[],False,True,HIGH,Trivial,Trigger_Gap,"[""MARKER_POST_FIX_ONLY""]",https://gitlab.gnome.org/GNOME/libxml2/-/commit/f0e757a2a4e9e4da6ad522d7a389b7a06db8e9d0,https://gitlab.gnome.org/GNOME/libxml2/-/tree/v2.9.14,https://changelogs.ubuntu.com/changelogs/pool/main/libx/libxml2/libxml2_2.9.14+dfsg-1.3ubuntu3.7/changelog,https://launchpad.net/ubuntu/+source/libxml2/+changelog,,,https://gitlab.gnome.org/GNOME/libxml2/-/issues/?search=signed,https://gitlab.gnome.org/GNOME/libxml2/-/commit/f0e757a2a4e9e4da6ad522d7a389b7a06db8e9d0,https://gitlab.gnome.org/GNOME/libxml2/-/blob/v2.9.14/uri.c,https://changelogs.ubuntu.com/changelogs/pool/main/libx/libxml2/libxml2_2.9.14+dfsg-1.3ubuntu3.7/changelog
libxml2,df2ba65f661addfba50bdb7f280d594781249dfc,2.9.14+dfsg-1.3ubuntu3,2.15.2+dfsg-0.1,2.9.14+dfsg-1.3ubuntu3.7,,main,not_present,False,pre_fix_code,True,"{""_error"": ""non_json_response"", ""_content_type"": ""text/html; charset=UTF-8""}",False,[],False,[],False,True,MEDIUM,Trivial,Trigger_Gap,[],https://gitlab.gnome.org/GNOME/libxml2/-/commit/df2ba65f661addfba50bdb7f280d594781249dfc,https://gitlab.gnome.org/GNOME/libxml2/-/tree/v2.9.14,https://changelogs.ubuntu.com/changelogs/pool/main/libx/libxml2/libxml2_2.9.14+dfsg-1.3ubuntu3.7/changelog,https://launchpad.net/ubuntu/+source/libxml2/+changelog,,,https://gitlab.gnome.org/GNOME/libxml2/-/issues/?search=duplicating,https://gitlab.gnome.org/GNOME/libxml2/-/commit/df2ba65f661addfba50bdb7f280d594781249dfc,https://gitlab.gnome.org/GNOME/libxml2/-/blob/v2.9.14/relaxng.c,https://changelogs.ubuntu.com/changelogs/pool/main/libx/libxml2/libxml2_2.9.14+dfsg-1.3ubuntu3.7/changelog
libxml2,66c52b3ac6c32ab112ec2a3bf41e6c30948be113,2.9.14+dfsg-1.3ubuntu3,2.15.2+dfsg-0.1,2.9.14+dfsg-1.3ubuntu3.7,,main,not_present,False,shared_context,True,"{""_error"": ""non_json_response"", ""_content_type"": ""text/html; charset=UTF-8""}",False,[],False,[],False,True,MEDIUM,Easy,Trigger_Gap,[],https://gitlab.gnome.org/GNOME/libxml2/-/commit/66c52b3ac6c32ab112ec2a3bf41e6c30948be113,https://gitlab.gnome.org/GNOME/libxml2/-/tree/v2.9.14,https://changelogs.ubuntu.com/changelogs/pool/main/libx/libxml2/libxml2_2.9.14+dfsg-1.3ubuntu3.7/changelog,https://launchpad.net/ubuntu/+source/libxml2/+changelog,,,https://gitlab.gnome.org/GNOME/libxml2/-/issues/?search=RelaxNG,https://gitlab.gnome.org/GNOME/libxml2/-/commit/66c52b3ac6c32ab112ec2a3bf41e6c30948be113,https://gitlab.gnome.org/GNOME/libxml2/-/blob/v2.9.14/include/libxml/relaxng.h,https://changelogs.ubuntu.com/changelogs/pool/main/libx/libxml2/libxml2_2.9.14+dfsg-1.3ubuntu3.7/changelog
libxml2,c2d310649edd05260e38a636d4aa9346c04ffc30,2.9.14+dfsg-1.3ubuntu3,2.15.2+dfsg-0.1,2.9.14+dfsg-1.3ubuntu3.7,,main,none,False,post_fix_only,True,"{""_error"": ""non_json_response"", ""_content_type"": ""text/html; charset=UTF-8""}",False,[],False,[],False,True,MEDIUM,Trivial,Trigger_Gap,"[""MARKER_POST_FIX_ONLY""]",https://gitlab.gnome.org/GNOME/libxml2/-/commit/c2d310649edd05260e38a636d4aa9346c04ffc30,https://gitlab.gnome.org/GNOME/libxml2/-/tree/v2.9.14,https://changelogs.ubuntu.com/changelogs/pool/main/libx/libxml2/libxml2_2.9.14+dfsg-1.3ubuntu3.7/changelog,https://launchpad.net/ubuntu/+source/libxml2/+changelog,,,https://gitlab.gnome.org/GNOME/libxml2/-/issues/?search=writer,https://gitlab.gnome.org/GNOME/libxml2/-/commit/c2d310649edd05260e38a636d4aa9346c04ffc30,https://gitlab.gnome.org/GNOME/libxml2/-/blob/v2.9.14/xmlwriter.c,https://changelogs.ubuntu.com/changelogs/pool/main/libx/libxml2/libxml2_2.9.14+dfsg-1.3ubuntu3.7/changelog
imagemagick,4a4e625de2b619e3bc166d866d0c0fdff724627a,8:6.9.12.98+dfsg1-5.2build2,8:7.1.2.18+dfsg1-1,8:6.9.12.98+dfsg1-5.2build2,,universe,not_present,False,shared_context,True,"{""_error"": ""non_json_response"", ""_content_type"": ""text/html; charset=UTF-8""}",False,[],False,[],False,True,HIGH,Easy,Trigger_Gap,"[""UPSTREAM_TAG_NOT_FOUND: could not verify upstream tag via forge API""]",https://github.com/ImageMagick/ImageMagick/commit/4a4e625de2b619e3bc166d866d0c0fdff724627a,,https://changelogs.ubuntu.com/changelogs/pool/universe/i/imagemagick/imagemagick_8:6.9.12.98+dfsg1-5.2build2/changelog,https://launchpad.net/ubuntu/+source/imagemagick/+changelog,,,https://github.com/ImageMagick/ImageMagick/issues?q=check,https://github.com/ImageMagick/ImageMagick/commit/4a4e625de2b619e3bc166d866d0c0fdff724627a,https://github.com/ImageMagick/ImageMagick/blob/v6.9.12.98/magick/pixel.c,https://changelogs.ubuntu.com/changelogs/pool/universe/i/imagemagick/imagemagick_8:6.9.12.98+dfsg1-5.2build2/changelog
imagemagick,eff569d764c694d3913c8b836cb7d9dd1a398d0b,8:6.9.12.98+dfsg1-5.2build2,8:7.1.2.18+dfsg1-1,8:6.9.12.98+dfsg1-5.2build2,,universe,not_present,False,pre_fix_code,True,"{""_error"": ""non_json_response"", ""_content_type"": ""text/html; charset=UTF-8""}",False,[],False,[],False,True,HIGH,Moderate,Trigger_Gap,"[""UPSTREAM_TAG_NOT_FOUND: could not verify upstream tag via forge API""]",https://github.com/ImageMagick/ImageMagick/commit/eff569d764c694d3913c8b836cb7d9dd1a398d0b,,https://changelogs.ubuntu.com/changelogs/pool/universe/i/imagemagick/imagemagick_8:6.9.12.98+dfsg1-5.2build2/changelog,https://launchpad.net/ubuntu/+source/imagemagick/+changelog,,,https://github.com/ImageMagick/ImageMagick/issues?q=allow,https://github.com/ImageMagick/ImageMagick/commit/eff569d764c694d3913c8b836cb7d9dd1a398d0b,https://github.com/ImageMagick/ImageMagick/blob/v6.9.12.98/magick/policy.c,https://changelogs.ubuntu.com/changelogs/pool/universe/i/imagemagick/imagemagick_8:6.9.12.98+dfsg1-5.2build2/changelog
ffmpeg,0831f98933536fcd919e6a8fe5138d2d32e96f1f,7:6.1.1-3ubuntu5,7:8.0.1-3ubuntu2,7:6.1.1-3ubuntu5,,universe,none,False,post_fix_only,True,"{""_error"": ""non_json_response"", ""_content_type"": ""text/html; charset=UTF-8""}",False,[],False,[],False,False,HIGH,Hard,Trigger_Gap,"[""MARKER_POST_FIX_ONLY""]",https://github.com/FFmpeg/FFmpeg/commit/0831f98933536fcd919e6a8fe5138d2d32e96f1f,https://github.com/FFmpeg/FFmpeg/tree/n6.1.1,https://changelogs.ubuntu.com/changelogs/pool/universe/f/ffmpeg/ffmpeg_7:6.1.1-3ubuntu5/changelog,https://launchpad.net/ubuntu/+source/ffmpeg/+changelog,,,https://github.com/FFmpeg/FFmpeg/issues?q=avcodec/rv60dec,https://github.com/FFmpeg/FFmpeg/commit/0831f98933536fcd919e6a8fe5138d2d32e96f1f,https://github.com/FFmpeg/FFmpeg/blob/v6.1.1/libavcodec/rv60dec.c,https://changelogs.ubuntu.com/changelogs/pool/universe/f/ffmpeg/ffmpeg_7:6.1.1-3ubuntu5/changelog
ffmpeg,6a1bb9c09fae6f4c88de2dfb9a4359a0dfb06ac8,7:6.1.1-3ubuntu5,7:8.0.1-3ubuntu2,7:6.1.1-3ubuntu5,,universe,not_present,False,shared_context,True,"{""_error"": ""non_json_response"", ""_content_type"": ""text/html; charset=UTF-8""}",False,[],False,[],False,True,MEDIUM,Trivial,Trigger_Gap,[],https://github.com/FFmpeg/FFmpeg/commit/6a1bb9c09fae6f4c88de2dfb9a4359a0dfb06ac8,https://github.com/FFmpeg/FFmpeg/tree/n6.1.1,https://changelogs.ubuntu.com/changelogs/pool/universe/f/ffmpeg/ffmpeg_7:6.1.1-3ubuntu5/changelog,https://launchpad.net/ubuntu/+source/ffmpeg/+changelog,,,https://github.com/FFmpeg/FFmpeg/issues?q=avcodec/osq,https://github.com/FFmpeg/FFmpeg/commit/6a1bb9c09fae6f4c88de2dfb9a4359a0dfb06ac8,https://github.com/FFmpeg/FFmpeg/blob/v6.1.1/libavcodec/osq.c,https://changelogs.ubuntu.com/changelogs/pool/universe/f/ffmpeg/ffmpeg_7:6.1.1-3ubuntu5/changelog
ffmpeg,5a6e2b0ab1bbc5a85a9575af8e4d67b4f0ed3d14,7:6.1.1-3ubuntu5,7:8.0.1-3ubuntu2,7:6.1.1-3ubuntu5,,universe,none,False,post_fix_only,True,"{""_error"": ""non_json_response"", ""_content_type"": ""text/html; charset=UTF-8""}",False,[],False,[],False,False,MEDIUM,infeasible,Trigger_Gap,"[""MARKER_POST_FIX_ONLY""]",https://github.com/FFmpeg/FFmpeg/commit/5a6e2b0ab1bbc5a85a9575af8e4d67b4f0ed3d14,https://github.com/FFmpeg/FFmpeg/tree/n6.1.1,https://changelogs.ubuntu.com/changelogs/pool/universe/f/ffmpeg/ffmpeg_7:6.1.1-3ubuntu5/changelog,https://launchpad.net/ubuntu/+source/ffmpeg/+changelog,,,https://github.com/FFmpeg/FFmpeg/issues?q=avcodec/rv60dec,https://github.com/FFmpeg/FFmpeg/commit/5a6e2b0ab1bbc5a85a9575af8e4d67b4f0ed3d14,https://github.com/FFmpeg/FFmpeg/blob/v6.1.1/libavcodec/rv60dec.c,https://changelogs.ubuntu.com/changelogs/pool/universe/f/ffmpeg/ffmpeg_7:6.1.1-3ubuntu5/changelog
