Package Name,Version
0ad,0.27.0
0ad-data,0.27.0
2048-cli,0.9.1+git.20181118
2ping,4.5.1
389-ds,3.1.4+64845ffd9
3omns,0.2
3proxy,0.9.5
4pane,8.0
4ti2,1.6.10
6tunnel,0.13
7zip,25.01
AMF,1.4.35
ART,1.24.1
AdwSteamGtk,0.7.2
AppStream,1.0.5
AusweisApp,2.3.2
Bear,3.1.5
Botan,3.7.1
Box2D,2.4.1
Cadence,0.9.2
CastXML,0.6.13
Catch2,3.4.0
Catch2-2,2.13.10
CharLS,2.4.2
Clipper2,1.5.4
ClusterTools2,3.1.3
Coin4,4.0.2
ColPack,1.0.10
ColorFull,1.1
ComputeLibrary,24.09
CoreFreq,2.0.8
CorsixTH,0.67
DSView,1.3.2
DVDStyler,3.2.1
DirectX-Headers,1.618.2
FAudio,24.06
FastCGI,2.4.6
FlightGear,2020.3.19
FlightGear-data,2020.3.18
Font-Downloader,10.0.0
Fragments,3.0.1
FreeFileSync,14.6
GeoLite2,2024.10.25
GraphicsMagick,1.3.46
HepMC,3.2.7
Herwig,7.3.0
IPAddress,5.5.1
ImageMagick,7.1.2.16
Imath,3.1.12
Ipopt,3.14.16
Jamulus,3.10.0
KEALib,1.5.0
Komikku,1.75.0
LHAPDF,6.5.4
LaTeXML,0.8.8
Leap-release,16.1
LiE,2.2.2
LibVNCServer,0.9.14
LuminanceHDR,2.6.0+git304.6107989
Mesa,26.0.1
Mesa-demo,9.0.0
Mesa-drivers,26.0.1
ModemManager,1.22.0
Modules,4.8.0
MozillaFirefox,140.8.0
MozillaFirefox-branding-openSUSE,68
MozillaThunderbird,140.2.1
MultiMarkdown-6,6.7.0
NetworkManager,1.54.3
NetworkManager-applet,1.36.0
NetworkManager-branding-openSUSE,42.1
NetworkManager-dns-bind,1.0
NetworkManager-dns-dnsmasq,1.0
NetworkManager-fortisslvpn,1.4.0
NetworkManager-iodine,1.2.0
NetworkManager-l2tp,1.20.10
NetworkManager-libreswan,1.2.24
NetworkManager-openconnect,1.2.10
NetworkManager-openvpn,1.12.0
NetworkManager-pptp,1.2.12
NetworkManager-strongswan,1.6.0
NetworkManager-vpnc,1.4.0
NsCDE,2.3
NumCpp,2.12.1
OpenBoard,1.7.3
OpenCSD,1.5.1
OpenColorIO,2.4.2
OpenColorIO-tools,2.4.2
OpenIPMI,2.0.36.56+git.0a3a991
OpenImageDenoise,2.3.3
OpenImageIO,3.0.9.0
OpenLP,3.1.7
OpenSceneGraph,3.6.5
OpenShadingLanguage,1.14.6.0
OpenSubdiv,3.6.1
PDAL,2.8.0
PTL,2.3.3
PackageKit,1.2.8
PackageKit-Qt5,1.1.1
PackageKit-Qt6,1.1.1
PackageKit-branding-openSUSE,42.1
PgTcl,1.7
Photini,2022.3.2
PlayOnLinux,4.4.0
ProtonPlus,0.4.20
PrusaSlicer,2.9.0
QR-Code-generator,1.8.0+git17.856ba8a
QSVEnc,7.71+0
QTalarm,2.5.1
QtDMM,0.9.8
QtPass,1.4.0
R-base,4.4.1
Radicale,3.2.3
RemoteBox,3.3
RigelEngine,0.9.1
Rivet,3.1.11
SAPHanaSR-angi,1.3.0
SDL2_Pango,2.1.5
SDL2_gfx,1.0.4
SDL2_image,2.8.2
SDL2_mixer,2.8.0
SDL2_net,2.2.0
SDL2_sound,2.0.2
SDL2_ttf,2.24.0
SDL3,3.4.0
SDL3_image,3.2.4
SDL3_ttf,3.2.2
SDL_Pango,0.1.2
SDL_bgi,3.0.2
SDL_gfx,2.0.27
SDL_image,1.2.12+hg695
SDL_mixer,1.2.12
SDL_net,1.2.8
SDL_sound,1.0.3
SDL_ttf,2.0.11
SHERPA-MC,2.2.15
SQLiteCpp,3.3.2
SVT-AV1,2.3.0
SampleICC,1.6.8
SecLists,2022.4
ServiceReport,2.2.4+git4.cdcbdfa
Setzer,66
ShellCheck,0.10.0
SimGear,2020.3.19
SoQt,1.6.2
SpeedTest++,1.11+git20210829.0f63cfb
StyLua,0.20.0
SwayNotificationCenter,0.11.0
TeXmacs,2.1.4
ThePEG,2.3.0
TreeMaker,5.0.1
VFlib3,3.7.2
Vc,1.4.5
VecCore,0.8.1
VirtualGL,3.1
XSStrike,3.1.5
XyGrib,1.2.6.1
YODA,1.9.11
ZArchive,0.1.2+git20220908.d2c7177
a2jmidid,9
a2ps,4.15.6
a52dec,0.8.0
aaa_base,84.87+git20260210.ecce285
aalib,1.4.0
aardvark-dns,1.17.0
abcde,2.9.3
abcm2ps,8.14.15
abi-compliance-checker,2.3
abi-dumper,1.2
abseil-cpp,20240722.1
accel-config,4.1.8
accessibility-inspector,25.04.3
accounts-qml-module,0.7git.20231028T182937~05e79eb
accountsservice,23.13.9
acct,6.6.4
ack,3.7.0
acl,2.3.2
acpica,20251212
acpid,2.0.34
act,0.2.64
actkbd,0.2.8
actuated-cli,0.2.7
adaptec-firmware,1.35
adaptx,0.9.13
adcli,0.9.2
ade,0.1.2d
adios2,2.10.2
adios2-mpich,2.10.2
adios2-mvapich2,2.10.2
